iter	Passed	Remaining
0	34	342858
1	67	335222
2	121	406372
3	148	372268
4	175	351816
5	206	344661
6	232	331911
7	256	320523
8	292	324602
9	317	317203
10	341	309779
11	365	304574
12	391	300535
13	415	296110
14	440	293377
15	465	290720
16	490	288157
17	516	286667
18	541	284342
19	565	282024
20	589	280243
21	615	279023
22	638	277114
23	662	275343
24	689	275209
25	714	274083
26	739	273172
27	767	273248
28	792	272521
29	816	271504
30	841	270758
31	866	270016
32	891	269275
33	917	268849
34	942	268227
35	966	267532
36	992	267200
37	1016	266497
38	1041	265923
39	1064	265016
40	1088	264294
41	1112	263798
42	1135	263007
43	1159	262391
44	1184	261956
45	1207	261324
46	1230	260644
47	1254	260127
48	1321	268367
49	1348	268284
50	1372	267672
51	1396	267131
52	1419	266320
53	1444	266036
54	1478	267293
55	1501	266610
56	1523	265794
57	1549	265597
58	1573	265080
59	1598	264765
60	1621	264205
61	1644	263657
62	1667	263017
63	1693	262924
64	1717	262529
65	1745	262674
66	1767	262097
67	1790	261555
68	1814	261226
69	1838	260832
70	1861	260266
71	1883	259777
72	1906	259307
73	1935	259619
74	1959	259250
75	1982	258920
76	2005	258426
77	2028	258017
78	2052	257814
79	2085	258618
80	2116	259124
81	2138	258700
82	2161	258295
83	2183	257811
84	2207	257519
85	2232	257409
86	2256	257075
87	2280	256887
88	2310	257351
89	2333	256990
90	2355	256482
91	2379	256278
92	2403	256074
93	2425	255658
94	2449	255350
95	2472	255031
96	2495	254763
97	2517	254393
98	2540	254084
99	2564	253898
100	2587	253627
101	2610	253361
102	2635	253212
103	2660	253139
104	2686	253123
105	2710	253014
106	2743	253678
107	2767	253451
108	2789	253173
109	2814	253043
110	2838	252885
111	2862	252688
112	2885	252427
113	2908	252208
114	2930	251919
115	2952	251581
116	2976	251456
117	2999	251190
118	3023	251089
119	3051	251239
120	3074	251003
121	3097	250804
122	3120	250539
123	3142	250307
124	3165	250057
125	3188	249893
126	3211	249675
127	3234	249476
128	3256	249195
129	3278	248933
130	3302	248829
131	3328	248796
132	3351	248606
133	3374	248463
134	3397	248289
135	3420	248076
136	3443	247876
137	3465	247630
138	3487	247399
139	3509	247175
140	3531	246934
141	3555	246835
142	3577	246593
143	3600	246426
144	3625	246415
145	3647	246171
